Codpro;Nompro;Valuni;Nrotab;Codean;Codea2;us01;us02;us03;us04;us05;us06;us07;us08;us09;us10;us11;us12;us13;us14;us15;us16;us17;us18;us19;us20;us21;us22;us23;us24;us25;us26;us27;us28;us29;us30;Tunida;U100xx;U105xx
95;Libro Amigos Del Oceano;36900;  ;9788538086581;.216CIMAO1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Libro Atlas Del Espacio;79900;  ;9789962046387;.216LXAES1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;Libro Descubre Colores;44900;  ;9788538090885;.216CIMDC1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;Libro Universo Realidad Aumentada;79900;  ;;.216LXURA1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;Libro Charlie Demuestra Valentida;39900;  ;9789962046677;.216PPCHA1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;Libro Emma Va A La Escuela;39900;  ;9789962046653;.216PPEMV1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Libro Astronautas Exploracion;29900;  ;9788467759334;.216SUAYE1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;Libro Descubro Universo;29900;  ;9788467759341;.216SUDUN1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;Torre Eiffel Rompecabezas 3d X 20;18900;01;6944588230067;.16821D100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;Libro Hora De Dormir Con Buho;89900;  ;9788538090625;.216CHHDB-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;Libro Hora De Comer Con Mono;89900;01;9788538090366;.216CHHCM1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
106;Libro Hora De Almuerzo Con Conejito;89900;  ;9788538090632;.216CHHAC-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;Libro Hora De Jugar Con Leon;89900;01;9788538090359;.216CHHJL-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;Libro Preguntas Y Respuestas Levanta Sol;54900;01;9788538088592;.216CHPYR-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;Romp. Mickey Cuadro Caucho;39900;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;Libro Amigos Del Bosque;99900;01;9789962042204;.216PHADB1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;Newborn Develop & Play Kit;199900;01;605566129150;.50712915;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1
112;Libro Aprende Abc Ted;99900;01;9789962043683;.216AZTED1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;
113;Libro Busca Y Encuentra Unicornios;79900;  ;9789962047209;.216TIBEU1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;Libro Naturaleza Computadora Para Ni§os;99900;  ;9789962043034;.216AZCNN1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;Libro Fabulas Pantalla Ilnteractiva Y So;119900;  ;9789962043669;.216AZRFA1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Libro El Mundo De Los Animales Toca;99900;  ;9789962041535;.216AZVAN1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;Libro La Era De Hielo;54900;  ;9782764346006;.216PHEHI1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Libro Paw Patrol Historias 4 L;54900;  ;9781772382648;.216KBPPA4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;Libro El Tesoro De Los Valores;89900;  ;9789962045380;.216LXPTV2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;Libro Con Sonidos Cuerpo Humano;89900;  ;9789962045502;.216AZZCHS1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;Libro Dinosaurios;49900;  ;9788538069416;.216CISDI1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;Libro Ms 100 Primeros N£meros;29900;  ;9788538061663;.216CICNU1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;Libro La Cerdita Pipa;54900;  ;9788538079798;.216CIS5P1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
